fr,mc,phonetic,cat
biographie,biugrafia,,nom
biologie,biulugia,,nom
birbe,birbu,,nom
biscotte,crusta,,nom
biscuit,büscütin,,nom
bise (baiser),baiju,,nom
bise (vent du nord),tramuntana,,nom
biseau,sbiaiju,,nom
bisquer,biscà,,verbe
c'en est un qui bisque,è tin biscusu,,autre
bissextil,bisestu,,adjectif
bistouri,lançeta,,nom
bistrot,bistro,,nom
bitte,castagnœra,,nom
bitume,bitüme; herbe à bitume,,nom
bitumineux,bitüminusu,,adjectif
bivouac,bivacu,,nom
bivouaquer,bivacà,,verbe
bizarre,bizarru,,adjectif
bizarrerie,bizarreria,,nom
blague (plaisanterie),blaga,,nom
blague à tabac,sachetu da tabacu,,nom
blaguer,blagà,,verbe
blagueur,blagaire,,nom
blaireau (mammal),tasciu,,nom
blaireau (pinceau),pinelu da barba,,nom
Blaise,Giaiju,,nom
blâme,blamu,,nom
blâmer,blamà,,verbe
blanc,giancu - blanc,,adjectif
blanchâtre,giancastru,,adjectif
blancheur,giancù,,nom
blanchir,üngianchl,,verbe
se blanchir,se gianchi,,verbe
blanchisserie,giancheria,,nom
blanchisseur,lavandieru,,nom
blason,blasun,,nom
blasphémateur,giastemaire,,nom
blasphème,giastema,,nom
blasphémer,giastemà,,verbe
blatte,babarota,,nom
blé,gran,,nom
blême,palidu,,adjectif
blennie,baveca,,nom
blessé,feriu,,adjectif
blesser,feri,,verbe
se blesser,se feri,,verbe
blessure,feria,,nom
blet,passiu,,adjectif
blette,ge,,nom
tarte aux blettes,turta de ge,,autre
bleu,blü,,adjectif
bleuâtre,blüastru,,adjectif
bleuet,blüctu,,nom
blinder,blindà,,verbe
bloc,blocu,,nom
blond,biundu - blondin,,adjectif
bloquer,blucà,,verbe
blotti,resuntu,,adjectif
blottir (se),s'üncantunà,,verbe
blouse,blusa,,nom
bluette,bülüga,,nom
boa,boa,,nom
bobine,bubina,,nom
une sale bobine,ün murru brütu,,autre
bobiner,bubinà,,verbe
bocal,bucale,,nom
bœuf,bœ,,nom
bogue (poisson),buga,,nom
filet à bognes,bugaira,,nom
bogue (enveloppe châtaigne),riciu,,nom
bohème,buemu,,adjectif
bohémien,zingaru,,adjectif
boire,büve,,verbe
bois,boscu,,nom
boisson,bevanda,,nom
boîte,buata,,nom
mettre en boîte,piyà un giru,,autre
boiter,ranghesà,,verbe
boiteux,rangu,,adjectif
bol,bola,,nom
bolet,bureu,,nom
bombardement,bumbardamentu,,nom
bombarder,bumbardà,,verbe
bombardier,bumbardiè,,nom
bombe,bumba,,nom
faire la bombe,fa baldoria,,autre
faire la bombe,fa a bumba,,autre
bombé,bumbüu,,adjectif
bon,bon,,adjectif
bon (billet),bon - bon,,nom
bonace,bunaça,,nom
bonasse,bunassu,,adjectif
bonbonne,bumbona,,nom
bonbonnière,bunbuniera,,nom
bond,butu,,nom
bonde,bunda,,nom
bonde d'un bateau,sf,,autre
bondir,bundi,,verbe
