fr,mc,phonetic,cat
abréviation,abreviaçiun,,nom
abri,reparu ; sf,,nom
abricol,abrico,,nom
abricotier,abricutè,,nom
abriter,assustà,,verbe
s'abriter,se reparà,,verbe
abrogation,abrugaçiun,,nom
abroger,abrugà,,verbe
abrutir,abrüti - s'abrutir,,verbe
abrutissant,abrütiscente,,adjectif
abrutissement,abrütimentu,,nom
abscons,astrüsu,,adjectif
absence,assença,,nom
absent,assente,,adjectif
absenter (s'),s'assentà,,verbe
absinthe,assensu,,nom
absolu,assulütu,,adjectif
absolution,assulüçiun,,nom
absorber (boire),sciorbc,,verbe
s'absorber dans,se prefundà ünte,,autre
absoudre,dà l'assulüçiun,,verbe
abstenir (s'),s'astegne,,pronom
abstention,astençiun,,nom
abstentionniste,astençiunista,,nom
abstinence,astinença,,nom
abstraction,astraçiun,,nom
abstrait,astratu,,adjectif
absurde,assürdu,,adjectif
absurdité,assürdüà,,nom
abus,abüsu,,nom
il y a de l'abus,gh'è d'esagcraçiun,,autre
abuser,abüsà - s'abuser,,verbe
abusif,abüsivu,,adjectif
acacia,acaçià,,nom
académicien,academicu,,nom
académie,academia,,nom
académique,academicu,,adjectif
accablant,acablante,,adjectif
accabler,acablà,,verbe
accalmie,mancada,,nom
accaparement,acaparamentu,,nom
accaparer,acaparà,,verbe
accapareur,acaparair c,,nom
accéder,accdc,,verbe
accélérer,acelcrà,,verbe
accent,acen tu - meure l'accent sur,,nom
accentuer,acentüà,,verbe
acceptable,accebile,,adjectif
acceptation,acetaçiun,,nom
accepter,acctà,,verbe
accès,acessu,,nom
accessible,acesSibile,,adjectif
accessoire,accessori,,nom
accident,açidente,,nom
accidenté,variu,,adjectif
acclamation,aclamaçiun,,nom
acclamer,aclamà,,verbe
acclimatation,aclimataçiun,,nom
acclimater,aclimatâ - s'acclimater,,verbe
accolade (embrassade),ümbrassada,,nom
accolade (typographique),sgrafa,,nom
accommoder,cumudà - s'accommoder,,verbe
accompagnateur,acumpagnatù,,nom
accompagnement,acumpagnamentu,,nom
accompagner,acumpagnà,,verbe
accompli,acump liu,,adjectif
accomplir,acump li,,verbe
accomplissement,acumplimentu,,nom
accord,acordi,,nom
accordé,acurdau,,adjectif
accordéon,giurgina,,nom
accorder,acurdà,,verbe
s'accorder,s'acurdà,,verbe
s'accorder,se mete d'acordi,,verbe
accordeur,acurdatù,,nom
accoster,acustà,,verbe
accouchement,partu,,nom
accoucher,acurcà,,verbe
accoucher,parturi,,verbe
accoupler,acubià,,verbe
s'accoupler,s'acubià,,verbe
accourir,acurre,,verbe
accoutrer,gimbrà,,verbe
accoutumer,acustümà,,verbe
accréditer,acredità,,verbe
accroc,strepu,,nom
accrocher,üncrucià,,verbe
accroissement,aumentu,,nom
accroître,aumentà,,verbe
accroupi,acugunau,,adjectif
accroupir (s'),s'acugunà,,verbe
accueil,achœyu,,nom
accueillant,entrante,,adjectif
accueillir,achœye,,verbe
accumuler,amügià,,verbe
accusateur,acüsatù,,nom
accusation,acüsaçiun,,nom
accusé,acüsau,,adjectif
accuser,acüsà - s'accuser,,verbe
acharné,acaniu,,adjectif
acharnement,acanim entu,,nom
acharner (s'),s'acanJ,,verbe
achat,acatu,,nom
acheminement,üncaminamentu,,nom
acheminer,üncaminà - s'acheminer,,verbe
acquérir(acheter),catà,,verbe
acquérir(corrompre),currumpe,,verbe
acquérir(acheter),achistà,,verbe
acquérir(corrompre),unzcerode,,verbe
acquérir,catà,,verbe
acquérir,currumpe,,verbe
acquérir,achistà,,verbe
acquérir,unzcerode,,verbe
acheteur,achistatù,,nom
achevé,finiu,,adjectif
achever,fini,,verbe
achopper,açipà,,verbe
acide,sm,,adjectif
acidité,acidità,,nom
acier,açaru,,nom
acolyte,cumpà,,nom
acompte,achœntu,,nom
aconit,aconitu,,nom
acoustique,acusticu; sf,,adjectif
acquis,achi~tau • acquis,,adjectif
acquisition,achisiçiun,,nom
acquit,chitança,,nom
acquitter,achità,,verbe
s'acquitter,s'achità,,verbe
acrobate,acrubata,,nom
