fr,mc,phonetic,cat
furibond,füribundu,,adjectif
furie,füria,,nom
furieux,füriusu,,adjectif
furoncle,ciavelu,,nom
furtif,fürtivu,,adjectif
fusain,berreta da preve,,nom
fuseau,füsu,,nom
un plein fuseau,üna füsà,,autre
fusée,füsea,,nom
fusée,füseta,,nom
fusible,füsible,,adjectif
fusil,füsi,,nom
fusil,füsiu,,nom
fusil,scciopu,,nom
fusillade,füsiyada,,nom
fusiller,füsiyà,,verbe
fusion,füsiun,,nom
fusionner,füsiunà,,verbe
fustiger,flagelà,,verbe
fût (tonneau),füstu,,nom
fût (tonneau),bute,,nom
fût (tige),füstu,,nom
futaie,boscu,,nom
futaine,früstagnu,,nom
futé,fürbu,,adjectif
futile,fütile,,adjectif
futilité,fütilità,,nom
futur,fütüru,,adjectif
fuyard,fügitivu,,adjectif
