fr,mc,phonetic,cat
manitou,peçu grossu,,nom
* manœuvre,sf. manœvra,,nom
manœuvrer,manüvrà,,verbe
• manquer,scarsegià,,verbe
• manteau,barracan • man- ·teau (de la cheminée),,nom
manufacturer,fabricà,,verbe
maquereau {poisson),lajertu • maquereau {proxénète),,nom
maraîcher,s,,adjectif
marauder,rabastiunà,,verbe
* marchand,neguçiante • marchand,,nom
marchander,neguçià,,verbe
* marchandise,merce,,nom
* marche (locomotion),sm. andamentu • marche (gradin),,nom
* marché (accord),pati •,,nom
* marciher,marcià,,verbe
* marcheur,caminaire,,nom
marcotte,sm. mayœ,,nom
mare,nai,,nom
marge,sm. margine,,nom
* mari,spusu,,nom
* mariage,matrimoni,,nom
Marie,Mari,,nom
* marier,vpr. se,,verbe
marià,s'acasà,,nom
marin,sm. marina,,adjectif
marinade,sm. carpiun,,nom
marine,flota,,nom
*marionnette,sm. büratin,,nom
marjolaine,camabügia,,nom
* marmite,marmita,,nom
marmiton,marmitun,,nom
marmonner,bruntulà,,verbe
*marmot,petesun,,nom
marmotter,marmutà,,verbe
marne,sm. scayun,,nom
marneux,marnusu,,adjectif
marquant,nutevule,,adjectif
* marque,signu,,nom
* marquer,demarcà,,verbe
marron,castagna sf,,nom
martial,gherrieru,,adjectif
martinet (fouet),sm. sbirru,,nom
martingale (lien,sf martingala,,autre
•martyre,turmentu,,nom
mas,sf casa de Pruvença,,nom
• masque,sf. aparença,,nom
masquer (dissimuler,v. mascà,,autre
d'un masque,v,,autre
massacre,ciaple; sf,,nom
massacrer,massà,,verbe
(mar1eau),sm. martelun,,nom
• massepain,massapan,,nom
(concentrer),vpr. se cuncentrà,,verbe
• massif,massivu ' massif,,adjectif
mastiquer (boucher avec du mastic),v. mastegà,,verbe
masure,sm. casun,,nom
matelas,sf strapunta,,nom
matelot,marinà,,nom
matériel,grussulan ' matériel,,adjectif
mathématique,sf matematica,,adjectif
• matière,sustança,,nom
matinée,matinà,,nom
matraque,sm. manganelu,,nom
matrice,sm. üteru,,nom
matrimonial,matrimuniale,,adjectif
maudire,maredi,,verbe
maudit,sm. maladetu - le maudit : u demoni,,adjectif
maussade,nüiusu,,adjectif
mauvais,sm,,adjectif
mauve,sf varma,,nom
maxime,sm. pruvcrbi,,nom
mayonnaise,maiunesa,,nom
mécanicien,mecaniçien,,nom
mécanique,sf meca nica,,adjectif
méchanceté,gramiçia,,nom
méchant,pervcrsu,,adjectif
méconnaitre,scunuscc,,verbe
• médaille,gigiola,,nom
médicament,sf medeçina,,nom
Méditerranée,nm,,nom
• meilleur,ciü bon,,nom
• mélange,sf mesccià,,nom
méla nger,vpr. se mesccià,,verbe
• mêler,implicà - se mêler,,verbe
mélisse,çitrunela,,nom
un membre d'une association,Un sociu,,autre
• même,stessu • même,,adjectif
• mémoire,mente · mémoire,,nom
* ménage,sf casa,,nom
* ménager,vpr. se menagià,,verbe
mendier,qestüà,,verbe
menées,sf,,nom
mener,purtà,,verbe
ménopause,sm,,nom
menotte,pl. - mettre les menottes: manetà,,nom
mensonge,sf,,nom
mental,sf,,adjectif
menteur,mentitù,,adjectif
menthe,sm,,nom
mentionner,numà,,verbe
* mentir,di büjie,,verbe
menu,munuu,,adjectif
hacher menu,münüssà,,autre
menu,menü,,nom
méprendre (se),se sbayà,,verbe
mépris,vitüperi,,nom
au mépris de,a despetu de,,autre
méprise,sm,,nom
mépriser,meprisà - se,,verbe
