fr,mc,phonetic,cat
diffamation,difamaçiun,,nom
diffamer,difamà,,verbe
différemment,diferentamente,,adjectif
différence,diferença,,nom
différencier,diferençià,,verbe
différend,desacordi,,nom
différent,diferente,,adjectif
différer (être différent),diferi,,verbe
difficile,dificile,,adjectif
difficilement,dificilamente,,adjectif
difficulté,dificürtà,,nom
difficultueux,dificürtusu,,adjectif
difforme,di forme,,adjectif
difformité,difurmità,,nom
diffus,difüsu,,adjectif
diffuser,difüsà,,verbe
diffusion,difüsiun,,nom
digérer,digeri,,verbe
digestif,sm,,adjectif
digestion,digestiun,,nom
digne,dignu,,adjectif
dignitaire,dignitari,,nom
dignité,dignità,,nom
digression,digressiun,,nom
digue,diga,,nom
dilapidation,dilapidaçiun,,nom
dilapider,dilapidà,,verbe
dilatation,dilataçiun,,nom
dilater,dilatà,,verbe
dilection,dileçiun,,nom
dilettante,diletante,,nom
diligence (promptitude),diligença,,nom
diligent,diligente,,adjectif
diluer,lendeni,,verbe
dimanche,dumenega,,nom
diminuer,diminüi,,verbe
diminutif,sm,,adjectif
diminution,diminüçiun,,nom
dinde,dinda,,nom
dindon,dindun,,nom
dîner,çenà,,verbe
diocèse,diocesi,,nom
diplomate,diplumata,,nom
diplomatie,diplumaçia,,nom
diplomatique,diplumaticu,,adjectif
diplôme,diploma,,nom
diplômer,diplumà,,verbe
dire,di,,verbe
direct,diretu,,adjectif
directeur,diretù,,nom
direction,direçiun,,nom
diriger,dirige,,verbe
discernement,discernimentu,,nom
discerner,discerne,,verbe
disciple,discipulu,,nom
disciplinaire,disciplinari,,adjectif
discipline (règle),disciplina,,nom
discipliner,disciplinà,,verbe
discordance,discurdança,,nom
discordant,discordi,,adjectif
discorde,discordia,,nom
discourir,discurre,,verbe
discours,discursu,,nom
discrédit,discreditu,,nom
discréditer,discredità,,verbe
discret,discretu,,adjectif
discrétion,discreçiun,,nom
discrimination,discriminaçiun,,nom
disculper,discurpà,,verbe
discussion,discüssiun,,nom
discuter,discütà,,verbe
disette,caristia,,nom
disgrâce,disgraçia,,nom
disgracié,disgraçiau,,adjectif
disgracieux,disgraçiusu,,adjectif
disjoindre,separà,,verbe
dislocation,dislucaçiun,,nom
disloquer,dislucà,,verbe
disparaître,dispari,,verbe
disparition,dispariçiun,,nom
disparu,a.s,,autre
dispendieux,dispendi usu,,adjectif
dispensaire,dispensari,,nom
dispense,dispensa,,nom
dispenser,dispensà,,verbe
disperser,dispersà,,verbe
dispersion,dispersiun,,nom
disponibilité,dispunibilità,,nom
disponible,dispunible,,adjectif
disposer,dispusà,,verbe
dispositif,dispusitivu,,nom
disposition,dispusiçiun,,nom
disproportion,disprupurçiun,,nom
dispute,rüsa,,nom
disputer,dispütà,,verbe
disque,discu,,nom
dissemblance,disparità,,nom
disséminer,disperde,,verbe
dissension,dissensiun,,nom
dissertation,dissertaçiun,,nom
disserter,dissertà,,verbe
dissidence,dissidença,,nom
dissident,dissidente,,adjectif
dissimulation,dissimülaçiun,,nom
dissimuler,dissimülà,,verbe
dissipation,dissipaçiun,,nom
dissipé,disculu,,adjectif
dissiper,dissipà,,verbe
dissocier,desassuçià,,verbe
dissolu,dissulüu,,adjectif
dissolution,dissulüçiun,,nom
dissolvant,sm,,adjectif
dissoudre,funde,,verbe
dissuader,dissüadà,,verbe
dissuasion,dissüasiun,,nom
distance,distança,,nom
distancer,distançià,,verbe
distillation,distilaçiun,,nom
distiller,distilà,,verbe
distinct,diferente,,adjectif
distinctif,distintivu,,adjectif
distinction,distinçiun,,nom
distingué,distintu,,adjectif
distinguer,distingà,,verbe
distraction,distraçiun,,nom
